otu	sim	del	ins	mis	len	score	hit
1	denovo1991	72.8	14	11	43	250	252	A119_AF180121
2	denovo1611	68.82	12	10	65	279	376	F4.4b_AM748584
3	denovo3199	68.3	15	13	69	306	379.5	I1_FN561559
4	denovo731	68.63	15	13	68	306	388.5	I1_FN561559
5	denovo836	68.95	15	13	67	306	397.5	I1_FN561559
6	denovo4401	72.45	13	14	54	294	440	F5.1d_JN558069
7	denovo5696	72.79	13	14	53	294	449	F5.1d_JN558069
8	denovo5020	94.1	3	3	11	288	1053.5	B1g_GU907635
9	denovo1898	95.26	3	3	7	274	1091	B1.III_Green2014
10	denovo3217	96.41	2	4	3	251	1139.5	A6_AF186058;A145_EU074935
11	denovo1052	94.29	3	9	4	280	1182	C31.2_JF683332;C31_AY258496;C31.1_HQ630876
12	denovo1080	94.6	4	8	3	278	1190.5	C17.2_FJ461513
13	denovo4762	94.33	3	9	4	282	1192	C3.15_FJ529649
14	denovo6616	92.88	6	3	11	281	1194	F4.2_AM748574
15	denovo5080	95.05	3	8	3	283	1194	C3.14_HQ630872
16	denovo1770	95.31	1	9	3	277	1196.5	C27/C30_AY239379
17	denovo6155	93.24	5	4	10	281	1198	F4.2_AM748574
18	denovo852	93.62	3	2	13	282	1203	F4.3_AM748578
19	denovo3621	92.88	4	2	14	281	1204.5	F4.2_AM748574
20	denovo2895	93.24	5	3	11	281	1205.5	F4.2_AM748574
21	denovo4503	93.24	5	3	11	281	1205.5	F4.2_AM748574
22	denovo1460	92.53	3	0	18	281	1206.5	F4.2_AM748574
23	denovo1208	94.95	4	6	4	277	1208	C27/C30_AY239379
24	denovo6735	95.67	2	8	2	277	1211	C27/C30_AY239379
25	denovo4298	95.67	1	8	3	277	1212.5	C27/C30_AY239379
26	denovo497	94.64	5	5	5	280	1214	C31.2_JF683332;C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
27	denovo3160	94.33	4	6	6	282	1215	C3.15_FJ529649
28	denovo1097	92.88	3	0	17	281	1215.5	F4.2_AM748574
29	denovo5928	92.88	3	0	17	281	1215.5	F4.2_AM748574
30	denovo2816	95.36	2	8	3	280	1217	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
31	denovo6956	95.67	1	8	3	277	1218	C27/C30_AY239379
32	denovo1868	94.68	4	6	5	282	1219	C3.15_FJ529649
33	denovo6203	96.01	2	8	1	276	1220	C21.10_JF683331;C21.11_HQ630874
34	denovo1753	93.59	5	2	11	281	1220	F4.2_AM748574
35	denovo13	96.01	2	8	1	276	1220.5	C21.6_HQ630873
36	denovo3909	95.36	3	8	2	280	1221	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
37	denovo6709	95.67	3	7	2	277	1221.5	C27/C30_AY239379
38	denovo1688	95.67	2	7	3	277	1223	C27/C30_AY239379
39	denovo4768	95.67	2	7	3	277	1223	C27/C30_AY239379
40	denovo3035	95.65	6	5	1	276	1224.5	C21.9_JF683330;C21/3d/C3k_AY239372
41	denovo5562	93.24	3	0	16	281	1224.5	F4.2_AM748574
42	denovo295	94.68	4	6	5	282	1224.5	C3.15_FJ529649
43	denovo6216	94.68	4	6	5	282	1224.5	C3.15_FJ529649
44	denovo6437	94.68	4	6	5	282	1224.5	C3.15_FJ529649
45	denovo3907	96.01	3	7	1	276	1225	C17.1_JF683322
46	denovo2490	96.04	2	8	1	278	1225	C17.2_FJ461513
47	denovo6097	96.06	1	9	1	279	1225	C31.10_HQ630880
48	denovo1354	93.95	4	3	10	281	1225	F4.2_AM748574
49	denovo2650	95.36	4	7	2	280	1225.5	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
50	denovo233	96.03	2	7	2	277	1226.5	C27/C30_AY239379
51	denovo1081	95.68	3	7	2	278	1226.5	C17.2_FJ461513
52	denovo3636	95.68	3	7	2	278	1226.5	C17.2_FJ461513
53	denovo5728	95.68	3	7	2	278	1226.5	C17.2_FJ461513
54	denovo6733	95.68	3	7	2	278	1226.5	C17.2_FJ461513
55	denovo963	95.68	3	7	2	278	1226.5	C17.2_FJ461513;C63a_AY589767
56	denovo4875	95.36	3	7	3	280	1227.5	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
57	denovo1204	96.01	4	6	1	276	1230	C21.11_HQ630874
58	denovo6150	95.71	3	8	1	280	1230	C31.6_HQ630878;C31_AY258496;C31.1_HQ630876
